Pays;Job_Family;Grade;Min;Mid;Max;Devise
Maroc;AUDIT;1;407.48;608.18;808.88;MAD
Maroc;AUDIT;2;313.45;467.83;622.21;MAD
Maroc;AUDIT;3;241.11;359.87;478.63;MAD
Maroc;AUDIT;4;185.47;276.82;368.17;MAD
Maroc;AUDIT;5;142.67;212.94;283.21;MAD
Maroc;AUDIT;6;109.75;163.8;217.85;MAD
Maroc;AUDIT;7;84.42;126.0;167.58;MAD
Maroc;COMMUNICATION;1;322.04;480.65;639.27;MAD
Maroc;COMMUNICATION;2;257.63;384.52;511.41;MAD
Maroc;COMMUNICATION;3;206.1;307.62;409.13;MAD
Maroc;COMMUNICATION;4;164.88;246.09;327.3;MAD
Maroc;COMMUNICATION;5;131.91;196.88;261.84;MAD
Maroc;COMMUNICATION;6;105.53;157.5;209.48;MAD
Maroc;COMMUNICATION;7;84.42;126.0;167.58;MAD
Maroc;CONFORMITE;1;407.48;608.18;808.88;MAD
Maroc;CONFORMITE;2;313.45;467.83;622.21;MAD
Maroc;CONFORMITE;3;241.11;359.87;478.63;MAD
Maroc;CONFORMITE;4;185.47;276.82;368.17;MAD
Maroc;CONFORMITE;5;142.67;212.94;283.21;MAD
Maroc;CONFORMITE;6;109.75;163.8;217.85;MAD
Maroc;CONFORMITE;7;84.42;126.0;167.58;MAD
Maroc;DATA;1;646.79;965.36;1283.93;MAD
Maroc;DATA;2;497.53;742.59;987.64;MAD
Maroc;DATA;3;382.72;571.22;759.72;MAD
Maroc;DATA;4;294.4;439.4;584.4;MAD
Maroc;DATA;5;226.46;338.0;449.54;MAD
Maroc;DATA;6;174.2;260.0;345.8;MAD
Maroc;DATA;7;134.0;200.0;266.0;MAD
Maroc;FINANCE;1;407.48;608.18;808.88;MAD
Maroc;FINANCE;2;313.45;467.83;622.21;MAD
Maroc;FINANCE;3;241.11;359.87;478.63;MAD
Maroc;FINANCE;4;185.47;276.82;368.17;MAD
Maroc;FINANCE;5;142.67;212.94;283.21;MAD
Maroc;FINANCE;6;109.75;163.8;217.85;MAD
Maroc;FINANCE;7;84.42;126.0;167.58;MAD
Maroc;GESTION DES RISQUES;1;407.48;608.18;808.88;MAD
Maroc;GESTION DES RISQUES;2;313.45;467.83;622.21;MAD
Maroc;GESTION DES RISQUES;3;241.11;359.87;478.63;MAD
Maroc;GESTION DES RISQUES;4;185.47;276.82;368.17;MAD
Maroc;GESTION DES RISQUES;5;142.67;212.94;283.21;MAD
Maroc;GESTION DES RISQUES;6;109.75;163.8;217.85;MAD
Maroc;GESTION DES RISQUES;7;84.42;126.0;167.58;MAD
Maroc;IT;1;511.17;762.94;1014.71;MAD
Maroc;IT;2;408.94;610.35;811.77;MAD
Maroc;IT;3;327.15;488.28;649.41;MAD
Maroc;IT;4;261.72;390.62;519.53;MAD
Maroc;IT;5;209.38;312.5;415.62;MAD
Maroc;IT;6;167.5;250.0;332.5;MAD
Maroc;IT;7;134.0;200.0;266.0;MAD
Maroc;RETAIL BANKING;1;322.04;480.65;639.27;MAD
Maroc;RETAIL BANKING;2;257.63;384.52;511.41;MAD
Maroc;RETAIL BANKING;3;206.1;307.62;409.13;MAD
Maroc;RETAIL BANKING;4;164.88;246.09;327.3;MAD
Maroc;RETAIL BANKING;5;131.91;196.88;261.84;MAD
Maroc;RETAIL BANKING;6;105.53;157.5;209.48;MAD
Maroc;RETAIL BANKING;7;84.42;126.0;167.58;MAD
Maroc;RH;1;322.04;480.65;639.27;MAD
Maroc;RH;2;257.63;384.52;511.41;MAD
Maroc;RH;3;206.1;307.62;409.13;MAD
Maroc;RH;4;164.88;246.09;327.3;MAD
Maroc;RH;5;131.91;196.88;261.84;MAD
Maroc;RH;6;105.53;157.5;209.48;MAD
Maroc;RH;7;84.42;126.0;167.58;MAD
Maroc;STRATEGIE;1;322.04;480.65;639.27;MAD
Maroc;STRATEGIE;2;257.63;384.52;511.41;MAD
Maroc;STRATEGIE;3;206.1;307.62;409.13;MAD
Maroc;STRATEGIE;4;164.88;246.09;327.3;MAD
Maroc;STRATEGIE;5;131.91;196.88;261.84;MAD
Maroc;STRATEGIE;6;105.53;157.5;209.48;MAD
Maroc;STRATEGIE;7;84.42;126.0;167.58;MAD
Maroc;TRANSFORMATION;1;322.04;480.65;639.27;MAD
