Pays;Job_Family;Grade;P25;Median;P75;Devise
Maroc;AUDIT;1;401.4;608.18;808.88;MAD
Maroc;AUDIT;2;308.77;467.83;622.21;MAD
Maroc;AUDIT;3;237.51;359.87;478.63;MAD
Maroc;AUDIT;4;182.7;276.82;368.17;MAD
Maroc;AUDIT;5;140.54;212.94;283.21;MAD
Maroc;AUDIT;6;108.11;163.8;217.85;MAD
Maroc;AUDIT;7;83.16;126.0;167.58;MAD
Maroc;COMMUNICATION;1;317.23;480.65;639.27;MAD
Maroc;COMMUNICATION;2;253.78;384.52;511.41;MAD
Maroc;COMMUNICATION;3;203.03;307.62;409.13;MAD
Maroc;COMMUNICATION;4;162.42;246.09;327.3;MAD
Maroc;COMMUNICATION;5;129.94;196.88;261.84;MAD
Maroc;COMMUNICATION;6;103.95;157.5;209.48;MAD
Maroc;COMMUNICATION;7;83.16;126.0;167.58;MAD
Maroc;CONFORMITE;1;401.4;608.18;808.88;MAD
Maroc;CONFORMITE;2;308.77;467.83;622.21;MAD
Maroc;CONFORMITE;3;237.51;359.87;478.63;MAD
Maroc;CONFORMITE;4;182.7;276.82;368.17;MAD
Maroc;CONFORMITE;5;140.54;212.94;283.21;MAD
Maroc;CONFORMITE;6;108.11;163.8;217.85;MAD
Maroc;CONFORMITE;7;83.16;126.0;167.58;MAD
Maroc;DATA;1;637.14;965.36;1283.93;MAD
Maroc;DATA;2;490.11;742.59;987.64;MAD
Maroc;DATA;3;377.01;571.22;759.72;MAD
Maroc;DATA;4;290.0;439.4;584.4;MAD
Maroc;DATA;5;223.08;338.0;449.54;MAD
Maroc;DATA;6;171.6;260.0;345.8;MAD
Maroc;DATA;7;132.0;200.0;266.0;MAD
Maroc;FINANCE;1;401.4;608.18;808.88;MAD
Maroc;FINANCE;2;308.77;467.83;622.21;MAD
Maroc;FINANCE;3;237.51;359.87;478.63;MAD
Maroc;FINANCE;4;182.7;276.82;368.17;MAD
Maroc;FINANCE;5;140.54;212.94;283.21;MAD
Maroc;FINANCE;6;108.11;163.8;217.85;MAD
Maroc;FINANCE;7;83.16;126.0;167.58;MAD
Maroc;GESTION DES RISQUES;1;401.4;608.18;808.88;MAD
Maroc;GESTION DES RISQUES;2;308.77;467.83;622.21;MAD
Maroc;GESTION DES RISQUES;3;237.51;359.87;478.63;MAD
Maroc;GESTION DES RISQUES;4;182.7;276.82;368.17;MAD
Maroc;GESTION DES RISQUES;5;140.54;212.94;283.21;MAD
Maroc;GESTION DES RISQUES;6;108.11;163.8;217.85;MAD
Maroc;GESTION DES RISQUES;7;83.16;126.0;167.58;MAD
Maroc;IT;1;503.54;762.94;1014.71;MAD
Maroc;IT;2;402.83;610.35;811.77;MAD
Maroc;IT;3;322.27;488.28;649.41;MAD
Maroc;IT;4;257.81;390.62;519.53;MAD
Maroc;IT;5;206.25;312.5;415.62;MAD
Maroc;IT;6;165.0;250.0;332.5;MAD
Maroc;IT;7;132.0;200.0;266.0;MAD
Maroc;RETAIL BANKING;1;317.23;480.65;639.27;MAD
Maroc;RETAIL BANKING;2;253.78;384.52;511.41;MAD
Maroc;RETAIL BANKING;3;203.03;307.62;409.13;MAD
Maroc;RETAIL BANKING;4;162.42;246.09;327.3;MAD
Maroc;RETAIL BANKING;5;129.94;196.88;261.84;MAD
Maroc;RETAIL BANKING;6;103.95;157.5;209.48;MAD
Maroc;RETAIL BANKING;7;83.16;126.0;167.58;MAD
Maroc;RH;1;317.23;480.65;639.27;MAD
Maroc;RH;2;253.78;384.52;511.41;MAD
Maroc;RH;3;203.03;307.62;409.13;MAD
Maroc;RH;4;162.42;246.09;327.3;MAD
Maroc;RH;5;129.94;196.88;261.84;MAD
Maroc;RH;6;103.95;157.5;209.48;MAD
Maroc;RH;7;83.16;126.0;167.58;MAD
Maroc;STRATEGIE;1;317.23;480.65;639.27;MAD
Maroc;STRATEGIE;2;253.78;384.52;511.41;MAD
Maroc;STRATEGIE;3;203.03;307.62;409.13;MAD
Maroc;STRATEGIE;4;162.42;246.09;327.3;MAD
Maroc;STRATEGIE;5;129.94;196.88;261.84;MAD
Maroc;STRATEGIE;6;103.95;157.5;209.48;MAD
Maroc;STRATEGIE;7;83.16;126.0;167.58;MAD
Maroc;TRANSFORMATION;1;317.23;480.65;639.27;MAD
Maroc;TRANSFORMATION;2;253.78;384.52;511.41;MAD
Maroc;TRANSFORMATION;3;203.03;307.62;409.13;MAD
Maroc;TRANSFORMATION;4;162.42;246.09;327.3;MAD
Maroc;TRANSFORMATION;5;129.94;196.88;261.84;MAD
Maroc;TRANSFORMATION;6;103.95;157.5;209.48;MAD
Maroc;TRANSFORMATION;7;83.16;126.0;167.58;MAD
Maroc;JURIDIQUE;1;401.4;608.18;808.88;MAD
Maroc;JURIDIQUE;2;308.77;467.83;622.21;MAD
Maroc;JURIDIQUE;3;237.51;359.87;478.63;MAD
Maroc;JURIDIQUE;4;182.7;276.82;368.17;MAD
Maroc;JURIDIQUE;5;140.54;212.94;283.21;MAD
Maroc;JURIDIQUE;6;108.11;163.8;217.85;MAD
Maroc;JURIDIQUE;7;83.16;126.0;167.58;MAD
Maroc;TRANSVERSE;1;317.23;480.65;639.27;MAD
Maroc;TRANSVERSE;2;253.78;384.52;511.41;MAD
Maroc;TRANSVERSE;3;203.03;307.62;409.13;MAD
Maroc;TRANSVERSE;4;162.42;246.09;327.3;MAD
Maroc;TRANSVERSE;5;129.94;196.88;261.84;MAD
Maroc;TRANSVERSE;6;103.95;157.5;209.48;MAD
Maroc;TRANSVERSE;7;83.16;126.0;167.58;MAD
